Key,"Where it appears",English,Language,"Current translation",Status,"Correction (fill in if wrong)"
about1.p10,"About - Company Overview","We shall always remain committed to the paradigm that unless the results are measurable, the solutions cannot be trusted, and deliver products and solutions that are sustainable, not just environmentally but economically also.",Gujarati,"અમે હંમેશાં એવા પરિપ્રેક્ષ્ય માટે પ્રતિબદ્ધ રહીશું કે જ્યાં સુધી પરિણામો માપી ન શકાય, ત્યાં સુધી ઉકેલો પર વિશ્વાસ કરી શકાતો નથી, અને એવાં ઉકેલો અને ઉકેલો કે જે ટકાઉ હોય, માત્ર પર્યાવરણીય રીતે જ નહીં, પરંતુ આર્થિક રીતે પણ.","machine translated - please check",
about1.p11,"About - Company Overview","We shall always measure our success based on the amount of money we have saved for our customers rather than the amount of money we have earned from them.",Hindi,"हम हमेशा अपने ग्राहकों के लिए बचाए गए धन की मात्रा के आधार पर अपनी सफलता को मापेंगे, न कि उनके लिए कमाए गए धन की मात्रा के आधार पर।","machine translated - please check",
about1.p11,"About - Company Overview","We shall always measure our success based on the amount of money we have saved for our customers rather than the amount of money we have earned from them.",Gujarati,"અમે હંમેશા અમારા ગ્રાહકો માટે બચત કરેલા નાણાંની માત્રા પર આધારિત સફળતાને માપીશું, તેના બદલે અમે તેમની પાસેથી કમાયેલા નાણાંની માત્રા પર આધારિત કરીશું.","machine translated - please check",
about1.title,"About - Company Overview","About<strong>Raybon Chemicals</strong>",Hindi,"परिचय: <strong>Raybon Chemicals</strong>","HAND-CORRECTED - please confirm",
about1.title,"About - Company Overview","About<strong>Raybon Chemicals</strong>",Gujarati,"પરિચય: <strong>Raybon Chemicals</strong>","HAND-CORRECTED - please confirm",
about1.mission.title,"About - Company Overview","Mission Statement",Hindi,"उद्देश्य कथन","machine translated - please check",
about1.mission.title,"About - Company Overview","Mission Statement",Gujarati,"હેતુ ઘોષણા","machine translated - please check",
about2.p2,"About - CEO's Desk","We have always been a company that prides itself not only of the products we supply, but on the services we give along with the product.",Hindi,"हम एक ऐसी कंपनी हैं जो न केवल अपने द्वारा आपूर्ति किए जाने वाले पीएक्सक्यू0क्यूएक्सडक्ट्स पर गर्व करती है, बल्कि पीएक्सक्यू0क्यूएक्सडक्ट्स के साथ प्रदान की जाने वाली सेवाओं पर भी गर्व करती है।","machine translated - please check",
about2.p2,"About - CEO's Desk","We have always been a company that prides itself not only of the products we supply, but on the services we give along with the product.",Gujarati,"અમે હંમેશાં એવી કંપની છીએ જે ફક્ત અમે પૂરી પાડતા pROducts પર જ નહીં, પરંતુ pROducts સાથે પૂરી પાડવામાં આવતી સેવાઓ પર પણ ગર્વ અનુભવે છે.","machine translated - please check",
about2.p3,"About - CEO's Desk","Our motto has always been: <strong>“outperforming polymers with outstanding service”</strong>",Hindi,"हमारा आदर्श वाक्य हमेशा रहा हैः ""उत्कृष्ट सेवा के साथ पॉलिमर को पीछे छोड़ना"" </stROng>","machine translated - please check",
about2.p3,"About - CEO's Desk","Our motto has always been: <strong>“outperforming polymers with outstanding service”</strong>",Gujarati,"અમારા સૂત્ર હંમેશાં રહ્યું છેઃ ""શ્રેષ્ઠ સેવા સાથે પોલિમરનું ઉત્કૃષ્ટ પ્રદર્શન"" </stROng>","machine translated - please check",
about2.p4,"About - CEO's Desk","With employee strength of over 250, within the group, we have engineers, chemists, technicians and field personnel who can ensure accurate dosing and fantastic remarkable results of our chemicals on the field. We have our own laboratory and go-down to ensure both quality products and services along with dependable logistics.",Hindi,"250 से अधिक कर्मचारियों के साथ, जीएक्सक्यू0क्यूएक्सयूपी के भीतर, हमारे पास इंजीनियर, रसायनज्ञ, तकनीशियन और क्षेत्र कर्मी हैं जो सटीक खुराक सुनिश्चित कर सकते हैं और क्षेत्र में हमारे रसायनों के शानदार उल्लेखनीय परिणाम प्राप्त कर सकते हैं। हमारे पास अपनी प्रयोगशाला है और गुणवत्तापूर्ण पी.एक्स.क्यू.0क्यू.एक्स.डक्ट्स और सेवाओं के साथ-साथ विश्वसनीय रसद सुनिश्चित करने के लिए हम सीधे गोदाम में जाते हैं।","machine translated - please check",
about2.p4,"About - CEO's Desk","With employee strength of over 250, within the group, we have engineers, chemists, technicians and field personnel who can ensure accurate dosing and fantastic remarkable results of our chemicals on the field. We have our own laboratory and go-down to ensure both quality products and services along with dependable logistics.",Gujarati,"250 થી વધુ કર્મચારીઓ સાથે, GROup ની અંદર, અમારી પાસે ઇજનેરો, રસાયણશાસ્ત્રીઓ, ટેકનિશિયન અને ક્ષેત્રના કર્મચારીઓ છે જે સચોટ માત્રા અને ક્ષેત્રમાં અમારા રસાયણોના ઉત્કૃષ્ટ નોંધપાત્ર પરિણામો સુનિશ્ચિત કરી શકે છે. અમારી પોતાની પ્રયોગશાળા છે અને ગુણવત્તાયુક્ત પી.એક્સ.ક્યુ.0ક્યુ.એક્સ. ડક્ટ્સ અને સેવાઓ તેમજ ભરોસાપાત્ર લોજિસ્ટિક્સ સુનિશ્ચિત કરવા માટે અમે સીધા જ જઈએ છીએ.","machine translated - please check",
about2.p5,"About - CEO's Desk","Our customers consist of various private and public sector undertakings like Lupin, Zydus Cadila, Grasim Industries, Sun Pharma, PI Industries, Torrent, HPCL, etc.",Hindi,"हमारे ग्राहकों में लुपिन, ज़ायडस कैडिला, ग्रासिम इंडस्ट्रीज़, सन फार्मा, पी.आई. इंडस्ट्रीज़, टोरेंट, एच.पी.सी.एल. आदि जैसे विभिन्न निजी और सार्वजनिक क्षेत्र के उपक्रम शामिल हैं।","machine translated - please check",
about2.p5,"About - CEO's Desk","Our customers consist of various private and public sector undertakings like Lupin, Zydus Cadila, Grasim Industries, Sun Pharma, PI Industries, Torrent, HPCL, etc.",Gujarati,"અમારા ગ્રાહકોમાં લ્યુપિન, ઝાયડસ કેડિલા, ગ્રાસિમ ઇન્ડસ્ટ્રીઝ, સન ફાર્મા, પી.આઈ. ઇન્ડસ્ટ્રીઝ, ટોરેન્ટ, એચ.પી.સી.એલ. વગેરે જેવી વિવિધ ખાનગી અને જાહેર ક્ષેત્રની કંપનીઓ છે.","machine translated - please check",
about2.p6,"About - CEO's Desk","Our products are specialty chemicals like Polyelectrolytes, Defoamers, Antiscalants, Dewatering polyelectrolytes, De-oiling polyelectrolytes, Bacterial cultures etc.",Hindi,"हमारे pROducts Polyelectrolytes, Defoamers, ऐंटिस्कैलेंट, डीवेटेरिंग Polyelectrolytes, डी-ऑइलिंग Polyelectrolytes, Bacterial Cultures आदि जैसे विशेष रसायन हैं।","machine translated - please check",
about2.p6,"About - CEO's Desk","Our products are specialty chemicals like Polyelectrolytes, Defoamers, Antiscalants, Dewatering polyelectrolytes, De-oiling polyelectrolytes, Bacterial cultures etc.",Gujarati,"અમારા pROducts એ Polyelectrolytes, Defoamers, એન્ટિસ્કોલેન્ટ્સ, ડીવેટરિંગ Polyelectrolytes, ડી-ઓઇલિંગ Polyelectrolytes, Bacterial Cultures વગેરે જેવા વિશિષ્ટ રસાયણો છે.","machine translated - please check",
about2.aims.intro,"About - CEO's Desk","We believe in long term mutually beneficial relationships with our partners, and most of our customers have been our customers for more than 15-20 years, bearing evidence to this. Our Aims are closely aligned with that of our partners that is to deliver to our customers",Hindi,"हम अपने भागीदारों के साथ दीर्घकालिक पारस्परिक लाभकारी संबंधों में विश्वास करते हैं, और हमारे अधिकांश ग्राहक 15-20 वर्षों से अधिक समय से हमारे ग्राहक रहे हैं, जो इस बात के प्रमाण हैं। हमारे उद्देश्य हमारे साझेदारों के उद्देश्य के साथ निकटता से जुड़े हुए हैं, अर्थात् अपने ग्राहकों को सेवा प्रदान करना।","machine translated - please check",
about2.aims.intro,"About - CEO's Desk","We believe in long term mutually beneficial relationships with our partners, and most of our customers have been our customers for more than 15-20 years, bearing evidence to this. Our Aims are closely aligned with that of our partners that is to deliver to our customers",Gujarati,"અમે અમારા ભાગીદારો સાથે લાંબા ગાળાના પરસ્પર લાભદાયી સંબંધો માનીએ છીએ અને અમારા મોટાભાગના ગ્રાહકો 15-20 વર્ષથી વધુ સમયથી અમારા ગ્રાહકો રહ્યા છે, જે આ વાતનો પુરાવો છે. અમારા હેતુઓ અમારા ભાગીદારોના હેતુઓ સાથે ગાઢ રીતે સંકળાયેલા છે, એટલે કે અમારા ગ્રાહકોને સેવા પૂરી પાડવી.","machine translated - please check",
about2.aims.1,"About - CEO's Desk","Improved data visibility",Hindi,"बेहतर डेटा दृश्यता","HAND-CORRECTED - please confirm",
about2.aims.1,"About - CEO's Desk","Improved data visibility",Gujarati,"બહેતર ડેટા દૃશ્યતા","HAND-CORRECTED - please confirm",
about2.aims.2,"About - CEO's Desk","Increased productivity",Hindi,"बढ़ी हुई उत्पादकता","HAND-CORRECTED - please confirm",
about2.aims.2,"About - CEO's Desk","Increased productivity",Gujarati,"વધેલી ઉત્પાદકતા","HAND-CORRECTED - please confirm",
about2.aims.3,"About - CEO's Desk","Reduced Costs",Hindi,"कम लागत","machine translated - please check",
about2.aims.3,"About - CEO's Desk","Reduced Costs",Gujarati,"ખર્ચમાં ઘટાડો","machine translated - please check",
about2.aims.4,"About - CEO's Desk","Improved environmental performance",Hindi,"बेहतर पर्यावरणीय प्रदर्शन","HAND-CORRECTED - please confirm",
about2.aims.4,"About - CEO's Desk","Improved environmental performance",Gujarati,"બહેતર પર્યાવરણીય કામગીરી","HAND-CORRECTED - please confirm",
about2.aims.5,"About - CEO's Desk","Improved profitability",Hindi,"बेहतर लाभप्रदता","HAND-CORRECTED - please confirm",
about2.aims.5,"About - CEO's Desk","Improved profitability",Gujarati,"બહેતર નફાકારકતા","HAND-CORRECTED - please confirm",
about2.aims.6,"About - CEO's Desk","Improved asset protection",Hindi,"बेहतर परिसंपत्ति सुरक्षा","HAND-CORRECTED - please confirm",
about2.aims.6,"About - CEO's Desk","Improved asset protection",Gujarati,"બહેતર સંપત્તિ સુરક્ષા","HAND-CORRECTED - please confirm",
about2.p8,"About - CEO's Desk","We have always believed that unless the results are measurable, the solutions cannot be trusted, we therefore always stress upon the dosages and the treat rate rather than the cost per kg of the chemicals used.",Hindi,"हमने सदैव यह माना है कि जब तक परिणाम मापनीय नहीं होंगे, तब तक समाधान पर विश्वास नहीं किया जा सकता, इसलिए हम सदैव उपयोग किए गए रसायनों के प्रति किलोग्राम लागत पर ध्यान देने के बजाय खुराक और उपचार दर पर जोर देते हैं।","machine translated - please check",
about2.p8,"About - CEO's Desk","We have always believed that unless the results are measurable, the solutions cannot be trusted, we therefore always stress upon the dosages and the treat rate rather than the cost per kg of the chemicals used.",Gujarati,"અમે હંમેશાં માનીએ છીએ કે જ્યાં સુધી પરિણામો માપી શકાય નહીં, ત્યાં સુધી ઉકેલો પર ભરોસો કરી શકાતો નથી, તેથી અમે હંમેશાં ઉપયોગમાં લેવાતા રસાયણોના કિલોગ્રામ દીઠ ખર્ચ પર નહીં, પરંતુ ડોઝ અને સારવાર દર પર ભાર મૂકે છે.","machine translated - please check",
about2.p9,"About - CEO's Desk","We have pioneered the concept and the paradigm of “Chemicals as a Service”- CAAS business model, in India, and we strongly believe that with time the concepts market acceptance will grow in the future.",Hindi,"हमने भारत में ""केमिकल्स एज अ सर्विस"" (सी.ए.ए.एस.) व्यवसाय मॉडल की अवधारणा और प्रतिमान को अग्रणी बनाया है और हम मानते हैं कि समय के साथ इन अवधारणाओं को बाजार स्वीकृति मिलेगी।","machine translated - please check",
about2.p9,"About - CEO's Desk","We have pioneered the concept and the paradigm of “Chemicals as a Service”- CAAS business model, in India, and we strongly believe that with time the concepts market acceptance will grow in the future.",Gujarati,"અમે ભારતમાં 'કેમિકલ્સ એઝ અ સર્વિસ' (સીએએએસ) બિઝનેસ મોડેલની વિભાવના અને પધ્ધતિનું પાયોનિયરિંગ કર્યું છે અને અમે માનીએ છીએ કે સમય જતાં આ વિભાવનાઓ બજારમાં સ્વીકૃતિ મેળવશે.","machine translated - please check",
